name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus
"Rise Carr, Darlington / CLNR EES3-1",45.56311702,Battery,0,1.8,0.95,0.95,82.01361063,Z6
Roosecote,688.4370936,Battery,0,1.8,0.95,0.95,1239.186768,Z6
Salcey Solar Farm,24.82524681,Battery,0,1.8,0.95,0.95,44.68544426,Z10
Severn Road,453.4078979,Battery,0,1.8,0.95,0.95,816.1342162,Z10
Slepe Farm,15.14757404,Battery,0,1.8,0.95,0.95,27.26563328,Z12
South Farm Solar Park,149.2524681,Battery,0,1.8,0.95,0.95,268.6544426,Z12
Stonehill Energy Storage,702.2623404,Battery,0,1.8,0.95,0.95,1264.072213,Z10
The Everest System,12.38252468,Battery,0,1.8,0.95,0.95,22.28854443,Z11
Thrybergh Hydroelectric Scheme,15.14757404,Battery,0,1.8,0.95,0.95,27.26563328,Z7
Trent Basin Community Battery,17.9126234,Battery,0,1.8,0.95,0.95,32.24272213,Z9
Tynemouth Energy Storage System (TESS),356.6311702,Battery,0,1.8,0.95,0.95,641.9361063,Z6
West Burton,688.4370936,Battery,0,1.8,0.95,0.95,1239.186768,Z9
Western International Market (WIM) Site,13.76504936,Battery,0,1.8,0.95,0.95,24.77708885,Z10
Whitelee Wind Farm Battery Storage Extension,2590.468548,Battery,0,1.8,0.95,0.95,4662.843387,Z5
Willersey solar farm ,24.82524681,Battery,0,1.8,0.95,0.95,44.68544426,Z9
Z1 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z1
Z2 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z11
Z3 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z4
Z4 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z8
Z5 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z9
Z6 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z7
Z7 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z6
Z8 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z5
Z9 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z10
Z10 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z12
Z11 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z2
Z12 Compressed Air,0.2745,Compressed Air,0,5,0.69,0.69,1.3725,Z3
Z1 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z1
Z2 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z11
Z3 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z4
Z4 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z8
Z5 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z9
Z6 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z7
Z7 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z6
Z8 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z5
Z9 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z10
Z10 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z12
Z11 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z2
Z12 Liquid Air,37.89166667,Liquid Air,0,4.658456125,0.69,0.69,176.5166667,Z3
