,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),44.20000076,Z11,44,1,1,0.73
South View Farm,Biomass (dedicated),Biomass (dedicated),2,Z7,44,1,1,0.73
Spalding,Biomass (dedicated),Biomass (dedicated),14.5,Z9,44,1,1,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),12.5,Z2,44,1,1,0.73
Stevens Croft,Biomass (dedicated),Biomass (dedicated),50.40000153,Z6,44,1,1,0.73
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),6.5,Z4,44,1,1,0.73
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),42,Z7,44,1,1,0.73
The Sawmill,Biomass (dedicated),Biomass (dedicated),6.800000191,Z9,44,1,1,0.73
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),38.5,Z11,44,1,1,0.73
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),9,Z6,44,1,1,0.73
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),43,Z10,44,1,1,0.73
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),14,Z10,44,1,1,0.73
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),12.5,Z4,44,1,1,0.73
Whitemoor,Biomass (dedicated),Biomass (dedicated),18,Z7,44,1,1,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),20,Z7,44,1,1,0.73
Wilton International.1,Biomass (dedicated),Biomass (dedicated),35.20000076,Z6,44,1,1,0.73
BritNed,Interconnector,Interconnector,1000,Z10,83.6331,1,1,1
EastWest,Interconnector,Interconnector,500,Z7,110.055,1,1,1
Moyle,Interconnector,Interconnector,500,Z5,93.96,1,1,1
Nemo,Interconnector,Interconnector,1000,Z12,84.9381,1,1,1
IFA,Interconnector,Interconnector,2000,Z12,84.6075,1,1,1
IFA2,Interconnector,Interconnector,1000,Z12,84.6075,1,1,1
NSL,Interconnector,Interconnector,1400,Z6,51.417,1,1,1
Viking Link,Interconnector,Interconnector,1400,Z9,73.95,1,1,1
Elec link,Interconnector,Interconnector,1000,Z12,84.6075,1,1,1
Wind Offshore Z10,Wind Offshore,Wind Offshore,667.6196289,Z10,0,1,1,1
Wind Offshore Z12,Wind Offshore,Wind Offshore,1163.3666,Z12,0,1,1,1
Wind Offshore Z7,Wind Offshore,Wind Offshore,2671.903492,Z7,0,1,1,1
Wind Offshore Z9,Wind Offshore,Wind Offshore,832.367218,Z9,0,1,1,1
Wind Offshore Z6,Wind Offshore,Wind Offshore,1392.319038,Z6,0,1,1,1
Wind Offshore Z11,Wind Offshore,Wind Offshore,2006.738092,Z11,0,1,1,1
Wind Offshore Z2,Wind Offshore,Wind Offshore,899.5804496,Z2,0,1,1,1
Wind Offshore Z3,Wind Offshore,Wind Offshore,851.0507813,Z3,0,1,1,1
Wind Offshore Z1,Wind Offshore,Wind Offshore,465.5049744,Z1,0,1,1,1
Wind Offshore Z5,Wind Offshore,Wind Offshore,137.7514725,Z5,0,1,1,1
Wind Offshore Z8,Wind Offshore,Wind Offshore,527.2556458,Z8,0,1,1,1
Wind Offshore Z4,Wind Offshore,Wind Offshore,5.541725636,Z4,0,1,1,1
Wind Onshore Z10,Wind Onshore,Wind Onshore,1330.981147,Z10,0,1,1,1
Wind Onshore Z12,Wind Onshore,Wind Onshore,323.6218983,Z12,0,1,1,1
Wind Onshore Z7,Wind Onshore,Wind Onshore,1202.02421,Z7,0,1,1,1
Wind Onshore Z9,Wind Onshore,Wind Onshore,234.4045559,Z9,0,1,1,1
Wind Onshore Z6,Wind Onshore,Wind Onshore,1193.515608,Z6,0,1,1,1
Wind Onshore Z11,Wind Onshore,Wind Onshore,40.13305032,Z11,0,1,1,1
Wind Onshore Z2,Wind Onshore,Wind Onshore,2216.908394,Z2,0,1,1,1
Wind Onshore Z3,Wind Onshore,Wind Onshore,718.2635674,Z3,0,1,1,1
Wind Onshore Z1,Wind Onshore,Wind Onshore,825.1866705,Z1,0,1,1,1
Wind Onshore Z5,Wind Onshore,Wind Onshore,4020.48573,Z5,0,1,1,1
Wind Onshore Z8,Wind Onshore,Wind Onshore,186.5990136,Z8,0,1,1,1
Wind Onshore Z4,Wind Onshore,Wind Onshore,398.7238259,Z4,0,1,1,1
Solar Photovoltaics Z10,Solar Photovoltaics,Solar Photovoltaics,5345.039601,Z10,0,1,1,1
Solar Photovoltaics Z12,Solar Photovoltaics,Solar Photovoltaics,3933.29766,Z12,0,1,1,1
Solar Photovoltaics Z7,Solar Photovoltaics,Solar Photovoltaics,741.9154079,Z7,0,1,1,1
Solar Photovoltaics Z9,Solar Photovoltaics,Solar Photovoltaics,2120.144001,Z9,0,1,1,1
Solar Photovoltaics Z6,Solar Photovoltaics,Solar Photovoltaics,342.7486898,Z6,0,1,1,1
Solar Photovoltaics Z11,Solar Photovoltaics,Solar Photovoltaics,663.5317655,Z11,0,1,1,1
Solar Photovoltaics Z2,Solar Photovoltaics,Solar Photovoltaics,16.72732145,Z2,0,1,1,1
Solar Photovoltaics Z3,Solar Photovoltaics,Solar Photovoltaics,60.02760747,Z3,0,1,1,1
Solar Photovoltaics Z1,Solar Photovoltaics,Solar Photovoltaics,0.2934618,Z1,0,1,1,1
Solar Photovoltaics Z5,Solar Photovoltaics,Solar Photovoltaics,8.774507314,Z5,0,1,1,1
Solar Photovoltaics Z8,Solar Photovoltaics,Solar Photovoltaics,81.87583721,Z8,0,1,1,1
Solar Photovoltaics Z4,Solar Photovoltaics,Solar Photovoltaics,37.07889581,Z4,0,1,1,1
Large Hydro Z7,Large Hydro,Large Hydro,54.5,Z7,0,1,1,1
Large Hydro Z6,Large Hydro,Large Hydro,6,Z6,0,1,1,1
Large Hydro Z2,Large Hydro,Large Hydro,731.5000019,Z2,0,1,1,1
Large Hydro Z3,Large Hydro,Large Hydro,598.8000002,Z3,0,1,1,1
Large Hydro Z1,Large Hydro,Large Hydro,28.60000038,Z1,0,1,1,1
Large Hydro Z5,Large Hydro,Large Hydro,124,Z5,0,1,1,1
Large Hydro Z8,Large Hydro,Large Hydro,109.1999989,Z8,0,1,1,1
Large Hydro Z4,Large Hydro,Large Hydro,8,Z4,0,1,1,1
Small Hydro Z10,Small Hydro,Small Hydro,8.400000215,Z10,0,1,1,1
Small Hydro Z7,Small Hydro,Small Hydro,1.599999957,Z7,0,1,1,1
Small Hydro Z9,Small Hydro,Small Hydro,1.700000048,Z9,0,1,1,1
Small Hydro Z6,Small Hydro,Small Hydro,0.800000012,Z6,0,1,1,1
Small Hydro Z2,Small Hydro,Small Hydro,111.4,Z2,0,1,1,1
Small Hydro Z3,Small Hydro,Small Hydro,77.70000006,Z3,0,1,1,1
Small Hydro Z1,Small Hydro,Small Hydro,11.6,Z1,0,1,1,1
Small Hydro Z5,Small Hydro,Small Hydro,1,Z5,0,1,1,1
Small Hydro Z8,Small Hydro,Small Hydro,6.100000024,Z8,0,1,1,1
Small Hydro Z4,Small Hydro,Small Hydro,0.200000003,Z4,0,1,1,1
